"treefilename","strength","bias","birth","death"
"tree128.tre",0.447131763445213,"FP",2,1
"tree129.tre",-0.798017954570241,"FP",2,1
"tree130.tre",-0.0521809215424582,"FP",2,1
"tree131.tre",0.38002300739754,"FP",2,1
"tree132.tre",0.160749856382608,"FP",2,1
"tree133.tre",-1.05005031253677,"FP",2,1
"tree134.tre",0.0274104388663545,"FP",2,1
"tree135.tre",0.821639401488937,"FP",2,1
"tree136.tre",-1.18124672421254,"FP",2,1
"tree137.tre",-0.0841823474038392,"FP",2,1
"tree138.tre",-0.0518667084397748,"FP",2,1
"tree139.tre",-0.953987239394337,"FP",2,1
"tree140.tre",-0.58303895033896,"FP",2,1
"tree141.tre",-0.897481437772512,"FP",2,1
"tree142.tre",-0.814987089019269,"FP",2,1
"tree143.tre",-1.14455178007483,"FP",2,1
"tree144.tre",-1.20490026986226,"FP",2,1
"tree145.tre",-0.423161327256821,"FP",2,1
"tree146.tre",0.484454882331192,"FP",2,1
"tree147.tre",-0.522441796259955,"FP",2,1
"tree148.tre",-0.740736395004205,"FP",2,1
"tree149.tre",-1.43888110737316,"FP",2,1
"tree150.tre",0.689101599506103,"FP",2,1
"tree151.tre",-0.564242919557728,"FP",2,1
"tree152.tre",0.778522501583211,"FP",2,1
"tree153.tre",0.728589875157923,"FP",2,1
"tree154.tre",0.983219035202637,"FP",2,1
"tree155.tre",-1.08970073086675,"FP",2,1
"tree156.tre",-0.44467779493425,"FP",2,1
"tree157.tre",-1.26511592278257,"FP",2,1
"tree158.tre",0.398284164490178,"FP",2,1
"tree159.tre",0.0224377199774608,"FP",2,1
"tree160.tre",0.107447902788408,"FP",2,1
"tree161.tre",0.292565768118948,"FP",2,1
"tree162.tre",0.130315143847838,"FP",2,1
"tree163.tre",0.771266625029966,"FP",2,1
"tree164.tre",0.510827289777808,"FP",2,1
"tree165.tre",-0.472543691634201,"FP",2,1
"tree166.tre",-1.03249424987007,"FP",2,1
"tree167.tre",-0.206526812748052,"FP",2,1
"tree168.tre",0.720064896973781,"FP",2,1
"tree169.tre",0.0749625628814101,"FP",2,1
"tree170.tre",0.974881241796538,"FP",2,1
"tree171.tre",-0.169903269619681,"FP",2,1
"tree172.tre",-0.976649388088845,"FP",2,1
"tree173.tre",0.204054472502321,"FP",2,1
"tree174.tre",-0.330970744020306,"FP",2,1
"tree175.tre",-0.14823239215184,"FP",2,1
"tree176.tre",-0.73057061736472,"FP",2,1
"tree177.tre",0.807121175690554,"FP",2,1
"tree178.tre",-0.350278218160383,"FP",2,1
"tree179.tre",-0.65007725241594,"FP",2,1
"tree180.tre",-0.588464239612222,"FP",2,1
"tree181.tre",-0.0197613865602762,"FP",2,1
"tree182.tre",-1.11656098021194,"FP",2,1
"tree183.tre",0.152501001954079,"FP",2,1
"tree184.tre",-1.34172374999616,"FP",2,1
"tree185.tre",-1.08051866793539,"FP",2,1
"tree186.tre",-0.582871275022626,"FP",2,1
