filename,Study.id,Tree.id,kind,type,quality,ntaxa,date,publisher,author,title
pyron.tre,squamates,squamates1,Species Tree,consensus,literature,,2013,,Pyron,"Pyron, R. A., Burbrink, F. T. & Wiens, J. J. (2013). A phylogeny and revised classifcation of Squamata, including 4161 species of lizards and snakes. BMC evolutionary biology, 13, 93."
durka.tre,plants,plants1,Species Tree,consensus,literature,,2012,,Durka,"Durka, W. & Michalski, S. G. (2012). Daphne: a dated phylogeny of a large European flora for phylogenetically informed ecological analyses. EN. Ecology, 93, 2297-2297."
danforth.tre,bees,bees1,Species Tree,consensus,literature,,2013,,Danforth,"Danforth, B. N., Cardinal, S., Praz, C., Almeida, E. A. B. & Michez, D. (2013). The impact of molecular data on our understanding of bee phylogeny and evolution. Annual review of entomology, 58, 57-78."
bininda.tre,mammals,mammals1,Species Tree,consensus,literature,,2007,,Bininda-Edmonds,"Bininda-Emonds, O. R.P., Cardillo, M., Jones, K. E., MacPhee, R. D. E., Beck, R. M. D., Grenyer, R., et al. (2007). The delayed rise of present-day mammals. Nature, 446,507-12."
jetz.tre,birds,birds1,Species Tree,consensus,literature,,2012,,Jetz,"Jetz, W, Thomas, G. H., Joy, J. B., Hartmann, K & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491, 444-8."
wiegmann.tre,flies,flies1,Species Tree,consensus,literature,,2011,,Wiegmann,"Wiegmann, B. M., Trautwein, M. D., Winkler, I. S., Barr, N. B., Kim, J.-W., Lambkin, C., et al. (2011). Episodic radiations in the fly tree of life. Proceedings of the National Academy of Sciences of the United States of America, 108, 5690-5."
