"treefilename","psi","bias","birth","death","ntaxa"
"tree97.tre",-1.46460243710317,"FP",3.17930849019904,1,101
"tree98.tre",0.772949002217501,"FP",4.58250118354335,1,165
"tree99.tre",-0.463953423080966,"FP",4.86880255879369,1,175
"tree100.tre",0.677811014116742,"FP",4.98718562929425,1,187
"tree101.tre",0.756213242071681,"FP",2.96055462681688,1,182
"tree102.tre",-1.19529353140388,"FP",3.02343960006256,1,80
"tree103.tre",0.684188436367549,"FP",4.3764841679018,1,187
"tree104.tre",0.444595110253431,"FP",3.18520106368233,1,75
"tree105.tre",-0.531828800798394,"FP",2.567295342125,1,51
"tree106.tre",-1.4455071054399,"FP",3.77506032325327,1,58
"tree107.tre",0.16761701577343,"FP",4.209995871922,1,199
"tree108.tre",-1.41493666369934,"FP",1.23035754915327,1,62
"tree109.tre",0.32711367844604,"FP",3.50068980988581,1,179
"tree110.tre",-1.23976908251643,"FP",1.66863702777773,1,199
"tree111.tre",-0.0296614788239822,"FP",1.36310604987666,1,165
"tree112.tre",-0.753122231457382,"FP",4.16041622546036,1,52
"tree113.tre",-1.34184680273756,"FP",4.53025250385981,1,174
"tree114.tre",0.721475024125539,"FP",2.25207637627609,1,133
"tree115.tre",-0.750852528493851,"FP",4.50406985743903,1,152
"tree116.tre",-0.302993425633758,"FP",4.27922099404968,1,112
"tree117.tre",-0.187399149639532,"FP",3.18468273566104,1,102
"tree118.tre",0.726909917080775,"FP",4.43177996575832,1,74
"tree119.tre",-0.552270473912358,"FP",2.21798317749053,1,63
"tree120.tre",-0.422509617405012,"FP",3.22281881237868,1,79
"tree121.tre",0.42460389691405,"FP",2.5691088931635,1,56
"tree122.tre",-1.38782803411596,"FP",3.42990447247867,1,62
"tree123.tre",-1.48369831184391,"FP",3.95216352120042,1,173
"tree124.tre",0.682288246112876,"FP",1.97363337471616,1,145
"tree125.tre",-0.47480177518446,"FP",1.12191792081576,1,60
"tree126.tre",-0.997119830339216,"FP",4.23761346412357,1,104
"tree127.tre",0.0379223716445267,"FP",2.61936789755709,1,146
"tree128.tre",-1.15325562981889,"FP",2.48045205967501,1,120
"tree129.tre",0.786165035911836,"FP",1.23423046024982,1,145
"tree130.tre",-1.42927330895327,"FP",4.52484892508946,1,135
"tree131.tre",0.492815913399681,"FP",1.32543793676887,1,126
"tree132.tre",-0.14815476059448,"FP",1.82445250249002,1,64
"tree133.tre",-1.10708894766867,"FP",1.33973580340389,1,104
"tree134.tre",-0.654218067415059,"FP",3.28500583376735,1,186
"tree135.tre",0.837933240924031,"FP",1.33423636108637,1,139
"tree136.tre",0.546521173324436,"FP",2.05941313223448,1,96
"tree137.tre",0.119892995222472,"FP",1.35344196516089,1,100
"tree138.tre",0.374720065970905,"FP",2.96197801870294,1,107
"tree139.tre",-0.321614094777033,"FP",2.19550998415798,1,134
"tree140.tre",-0.350333431037143,"FP",2.22229622895829,1,70
"tree141.tre",-0.897853097761981,"FP",4.78480865256861,1,152
"tree142.tre",0.65563147503417,"FP",3.11807290806901,1,103
