"treefilename","psi","bias","birth","death","ntaxa"
"tree0.tre",0.0274947038851678,"FP",4.35738432409707,1,73
"tree1.tre",0.503335687331855,"FP",2.8822520788759,1,108
"tree2.tre",-0.594819906633347,"FP",4.21515121539123,1,144
"tree3.tre",0.291358883492649,"FP",3.37757811001502,1,161
"tree4.tre",0.788237627130002,"FP",2.68202844611369,1,70
"tree5.tre",0.586126073729247,"FP",3.11874746882822,1,179
"tree6.tre",0.271326622925699,"FP",1.79430740955286,1,91
"tree7.tre",0.842453615739942,"FP",1.59109955215827,1,118
"tree8.tre",-0.603391150478274,"FP",1.33669153284282,1,119
"tree9.tre",-0.800730673130602,"FP",3.7451073396951,1,152
"tree10.tre",0.77848473796621,"FP",1.31754654222168,1,68
"tree11.tre",0.864254402462393,"FP",1.16753019192256,1,194
"tree12.tre",-0.994911999441683,"FP",2.77644753942732,1,165
"tree13.tre",0.585156843066216,"FP",2.44166960774455,1,72
"tree14.tre",-0.964028016198426,"FP",4.27343540941365,1,127
"tree15.tre",0.0204380163922906,"FP",2.58471029864158,1,59
"tree16.tre",0.331426929682493,"FP",3.79953445156571,1,117
"tree17.tre",-0.469458711333573,"FP",2.34179772082716,1,196
"tree18.tre",0.512933588121086,"FP",4.69813240852673,1,134
"tree19.tre",-0.779918138869107,"FP",2.35022871603724,1,136
"tree20.tre",-0.827814518939704,"FP",3.83411740963347,1,141
"tree21.tre",-0.0630950508639216,"FP",4.76414323241916,1,154
"tree22.tre",-0.978857948910445,"FP",2.17075873308349,1,115
"tree23.tre",-0.677006296347827,"FP",4.63457358914893,1,80
"tree24.tre",-0.327882796060294,"FP",2.95896046084817,1,165
"tree25.tre",0.324416274670511,"FP",4.69647189483512,1,180
"tree26.tre",0.88587385090068,"FP",3.34026903572958,1,127
"tree27.tre",-0.359982083085924,"FP",2.08420402377378,1,63
"tree28.tre",0.974834153894335,"FP",4.97529240020085,1,137
"tree29.tre",-0.00919294310733676,"FP",4.39607185320929,1,95
"tree30.tre",-0.41495198244229,"FP",4.25957748882938,1,71
